train tokens: 227,150,260  val tokens: 110,062
  step  9300 | loss 4.1721 | lr 9.26e-05
  step  9325 | loss 4.3909 | lr 9.17e-05
  step  9350 | loss 4.1910 | lr 9.08e-05
  step  9375 | loss 3.9378 | lr 8.99e-05
step  9400 | train_loss 4.1634 | val_loss 4.1935 | val_ppl 66.25 | lr 8.90e-05 | tok/s 1477
  step  9400 | loss 4.3705 | lr 8.90e-05
  step  9425 | loss 4.1966 | lr 8.81e-05
  step  9450 | loss 4.2208 | lr 8.72e-05
  step  9475 | loss 4.2497 | lr 8.64e-05
  step  9500 | loss 4.0880 | lr 8.55e-05
  step  9525 | loss 4.2663 | lr 8.47e-05
  step  9550 | loss 4.3146 | lr 8.39e-05
  step  9575 | loss 4.3997 | lr 8.31e-05
step  9600 | train_loss 4.1572 | val_loss 4.1145 | val_ppl 61.22 | lr 8.23e-05 | tok/s 1476
  step  9600 | loss 4.2686 | lr 8.23e-05
  step  9625 | loss 4.1842 | lr 8.15e-05
  step  9650 | loss 3.8597 | lr 8.07e-05
  step  9675 | loss 4.0975 | lr 8.00e-05
  step  9700 | loss 4.1917 | lr 7.93e-05
  step  9725 | loss 4.1431 | lr 7.85e-05
  step  9750 | loss 4.2642 | lr 7.78e-05
  step  9775 | loss 4.3057 | lr 7.71e-05
step  9800 | train_loss 4.1214 | val_loss 4.1128 | val_ppl 61.12 | lr 7.64e-05 | tok/s 1476
  step  9800 | loss 4.0765 | lr 7.64e-05
  step  9825 | loss 4.2729 | lr 7.58e-05
  step  9850 | loss 4.1795 | lr 7.51e-05
  step  9875 | loss 4.1033 | lr 7.45e-05
  step  9900 | loss 4.1105 | lr 7.38e-05
  step  9925 | loss 4.0427 | lr 7.32e-05
  step  9950 | loss 3.9756 | lr 7.26e-05
  step  9975 | loss 4.0120 | lr 7.20e-05
step 10000 | train_loss 4.2071 | val_loss 4.0722 | val_ppl 58.69 | lr 7.14e-05 | tok/s 1560
  step 10000 | loss 4.2147 | lr 7.14e-05
checkpoint saved: out/run2b_gpt2small_135M/ckpt_10000.npz
  step 10025 | loss 4.1103 | lr 7.09e-05
  step 10050 | loss 3.9228 | lr 7.03e-05
  step 10075 | loss 4.0605 | lr 6.98e-05
  step 10100 | loss 3.9743 | lr 6.93e-05
  step 10125 | loss 4.2098 | lr 6.88e-05
