train tokens: 227,150,260  val tokens: 110,062
step 11500 | train_loss 4.5404 | val_loss 4.5410 | val_ppl 93.78 | lr 4.10e-04 | tok/s 17007
  step 11500 | loss 4.5643 | lr 4.10e-04
  step 11550 | loss 4.6408 | lr 4.08e-04
  step 11600 | loss 4.5030 | lr 4.07e-04
  step 11650 | loss 4.4887 | lr 4.06e-04
  step 11700 | loss 4.5794 | lr 4.04e-04
  step 11750 | loss 4.7265 | lr 4.03e-04
  step 11800 | loss 4.5425 | lr 4.01e-04
  step 11850 | loss 4.5715 | lr 4.00e-04
  step 11900 | loss 4.5733 | lr 3.98e-04
  step 11950 | loss 4.4787 | lr 3.97e-04
step 12000 | train_loss 4.5859 | val_loss 4.5087 | val_ppl 90.80 | lr 3.95e-04 | tok/s 17008
  step 12000 | loss 4.5143 | lr 3.95e-04
checkpoint saved: /home/sanyam-0605/Desktop/sanyam_projects/rumik assignment/out/ckpt_12000.npz
  step 12050 | loss 4.6001 | lr 3.94e-04
  step 12100 | loss 4.5248 | lr 3.92e-04
  step 12150 | loss 4.5384 | lr 3.91e-04
  step 12200 | loss 4.3665 | lr 3.89e-04
  step 12250 | loss 4.6202 | lr 3.88e-04
  step 12300 | loss 4.5055 | lr 3.86e-04
  step 12350 | loss 4.7243 | lr 3.85e-04
  step 12400 | loss 4.4848 | lr 3.83e-04
  step 12450 | loss 4.4989 | lr 3.82e-04
step 12500 | train_loss 4.5185 | val_loss 4.4850 | val_ppl 88.68 | lr 3.80e-04 | tok/s 16976
  step 12500 | loss 4.6314 | lr 3.80e-04
  step 12550 | loss 4.4661 | lr 3.79e-04
  step 12600 | loss 4.6058 | lr 3.77e-04
  step 12650 | loss 4.5377 | lr 3.76e-04
  step 12700 | loss 4.4844 | lr 3.74e-04
  step 12750 | loss 4.3967 | lr 3.73e-04
  step 12800 | loss 4.5746 | lr 3.71e-04
  step 12850 | loss 4.3337 | lr 3.70e-04
  step 12900 | loss 4.4221 | lr 3.68e-04
  step 12950 | loss 4.4198 | lr 3.67e-04
step 13000 | train_loss 4.5248 | val_loss 4.4691 | val_ppl 87.28 | lr 3.65e-04 | tok/s 17015
  step 13000 | loss 4.5493 | lr 3.65e-04
  step 13050 | loss 4.5722 | lr 3.64e-04
  step 13100 | loss 4.6721 | lr 3.62e-04
  step 13150 | loss 4.4320 | lr 3.61e-04
  step 13200 | loss 4.5919 | lr 3.59e-04
  step 13250 | loss 4.5248 | lr 3.58e-04
  step 13300 | loss 4.4196 | lr 3.56e-04
  step 13350 | loss 4.5282 | lr 3.54e-04
  step 13400 | loss 4.6455 | lr 3.53e-04
  step 13450 | loss 4.4992 | lr 3.51e-04
step 13500 | train_loss 4.5097 | val_loss 4.4578 | val_ppl 86.30 | lr 3.50e-04 | tok/s 17011
  step 13500 | loss 4.4924 | lr 3.50e-04
  step 13550 | loss 4.5704 | lr 3.48e-04
  step 13600 | loss 4.4564 | lr 3.47e-04
  step 13650 | loss 4.4187 | lr 3.45e-04
  step 13700 | loss 4.5152 | lr 3.44e-04
  step 13750 | loss 4.4365 | lr 3.42e-04
  step 13800 | loss 4.3567 | lr 3.41e-04
  step 13850 | loss 4.3908 | lr 3.39e-04
  step 13900 | loss 4.5358 | lr 3.38e-04
  step 13950 | loss 4.3741 | lr 3.36e-04
step 14000 | train_loss 4.4829 | val_loss 4.4677 | val_ppl 87.16 | lr 3.35e-04 | tok/s 17013
  step 14000 | loss 4.6683 | lr 3.35e-04
checkpoint saved: /home/sanyam-0605/Desktop/sanyam_projects/rumik assignment/out/ckpt_14000.npz
  step 14050 | loss 4.5891 | lr 3.33e-04
  step 14100 | loss 4.4066 | lr 3.32e-04
  step 14150 | loss 4.4026 | lr 3.30e-04
  step 14200 | loss 4.5395 | lr 3.28e-04
  step 14250 | loss 4.3791 | lr 3.27e-04
  step 14300 | loss 4.5865 | lr 3.25e-04
  step 14350 | loss 4.3789 | lr 3.24e-04
  step 14400 | loss 4.3893 | lr 3.22e-04
  step 14450 | loss 4.6132 | lr 3.21e-04
step 14500 | train_loss 4.4682 | val_loss 4.4380 | val_ppl 84.60 | lr 3.19e-04 | tok/s 16980
  step 14500 | loss 4.3203 | lr 3.19e-04
  step 14550 | loss 4.5458 | lr 3.18e-04
  step 14600 | loss 4.5682 | lr 3.16e-04
  step 14650 | loss 4.4647 | lr 3.15e-04
  step 14700 | loss 4.3619 | lr 3.13e-04
  step 14750 | loss 4.5128 | lr 3.12e-04
  step 14800 | loss 4.4525 | lr 3.10e-04
  step 14850 | loss 4.4663 | lr 3.09e-04
  step 14900 | loss 4.4721 | lr 3.07e-04
  step 14950 | loss 4.4693 | lr 3.06e-04
step 15000 | train_loss 4.4658 | val_loss 4.4320 | val_ppl 84.10 | lr 3.04e-04 | tok/s 17011
  step 15000 | loss 4.3278 | lr 3.04e-04
  step 15050 | loss 4.4879 | lr 3.02e-04
  step 15100 | loss 4.3300 | lr 3.01e-04
  step 15150 | loss 4.4207 | lr 2.99e-04
  step 15200 | loss 4.4485 | lr 2.98e-04
  step 15250 | loss 4.3213 | lr 2.96e-04
  step 15300 | loss 4.5771 | lr 2.95e-04
  step 15350 | loss 4.3759 | lr 2.93e-04
  step 15400 | loss 4.4135 | lr 2.92e-04
  step 15450 | loss 4.5089 | lr 2.90e-04
step 15500 | train_loss 4.4247 | val_loss 4.4365 | val_ppl 84.48 | lr 2.89e-04 | tok/s 17010
